model_year,brand,model,type,miles_per_gallon,premium_version,msrp,collection_car
2019,Ford,F-150 Lariat,Pickup,20.0,1,40000.0,0
2016,Mercedes-Benz,AMG G AMG G 63 4MATIC,SUV,13.0,1,150000.0,1
2008,BMW,M3 Base,Coupe,14.0,1,57800.0,1
2007,Mazda,MX-5 Miata Grand Touring,Convertible,22.0,1,27800.0,0
2017,Chevrolet,Suburban Premier,SUV,18.0,1,75800.0,0
2022,Ford,Expedition Max Limited,SUV,18.0,1,76000.0,0
2015,Chevrolet,Suburban LTZ,SUV,22.0,1,70000.0,0
2010,Hyundai,Genesis Coupe 3.8 Track,Coupe,18.0,1,31900.0,0
2013,Chrysler,300 Touring,Sedan,19.0,0,30000.0,0
2011,Mercedes-Benz,GL-Class GL 450 4MATIC,SUV,14.0,1,59500.0,0
2019,Land,Rover Range Rover Sport HSE,SUV,20.0,1,66850.0,0
2007,Volkswagen,CC Sport,Sedan,20.0,0,28000.0,0
2007,Jeep,Wrangler Sport,SUV,20.0,0,24000.0,0
2014,Audi,S4 3.0T Premium Plus,Sedan,18.0,1,50000.0,0
2021,Porsche,911 Turbo S,Coupe,18.0,1,207000.0,1
2019,Cadillac,Escalade ESV Platinum,SUV,14.0,1,89995.0,0
2017,Ford,Explorer XLT,SUV,20.0,0,31500.0,0
2021,Ford,F-250 King Ranch,Pickup,20.0,1,56300.0,0
2015,Lincoln,MKZ Base,Sedan,29.0,0,36000.0,0
2005,Toyota,Tundra SR5 Access Cab,Pickup,15.0,0,25000.0,0
2021,Jeep,Grand Cherokee L Limited,SUV,21.0,1,55000.0,0
2017,Land,Rover Range Rover 5.0L Supercharged,SUV,18.0,1,111000.0,0
2018,Mercedes-Benz,S-Class S 550 4MATIC,Sedan,18.0,1,96000.0,0
2012,Mercedes-Benz,E-Class E 350 4MATIC,Sedan,20.0,0,55900.0,0
2022,Mercedes-Benz,AMG GT 53 Base,Coupe,20.0,1,100000.0,0
2005,Toyota,Camry Solara SLE V6,Coupe,21.0,1,25900.0,0
2018,Ford,F-150 Lariat,Pickup,20.0,1,42000.0,0
2008,BMW,M240 i xDrive,Sedan,22.0,1,40000.0,0
2023,Mercedes-Benz,S-Class S 560 4MATIC,Sedan,20.0,1,100000.0,0
2015,Ford,Transit Connect XLT,Minivan,24.0,0,24490.0,0
2018,INFINITI,QX80 Base,SUV,14.0,0,64900.0,0
2021,Jeep,Grand Cherokee Limited,SUV,22.0,1,43690.0,0
2022,Jeep,Gladiator Rubicon,Pickup,22.0,1,50775.0,0
2008,RAM,1500 Laramie,Pickup,15.0,1,30500.0,0
2003,Lexus,RX 330 Base,SUV,20.0,0,35000.0,0
2018,BMW,528 i xDrive,Sedan,24.0,1,52000.0,0
2017,Tesla,Model S 85D,Sedan,90.0,1,75000.0,0
2018,Lamborghini,Aventador S Base,Coupe,10.0,1,421321.0,1
2015,BMW,M3 Base,Sedan,17.0,1,64900.0,1
2020,BMW,M3 CS,Sedan,20.0,1,100000.0,1
2021,Chevrolet,Camaro 1SS,Coupe,19.0,1,42900.0,0
2014,Hyundai,Veloster Base,Hatchback,30.0,0,18400.0,0
2011,Porsche,Cayenne AWD,SUV,18.0,1,60000.0,0
2007,Ford,E250 Cargo,Van,0.0,0,0.0,0
2022,Cadillac,Escalade Premium Luxury Platinum,SUV,17.0,1,113595.0,0
2017,Audi,A5 2.0T Premium,Coupe,25.0,1,42500.0,0
2022,Tesla,Model S Long Range Plus,Sedan,120.0,1,79990.0,0
2023,Toyota,Supra A91-MT Edition,Coupe,22.0,1,60500.0,0
2016,Audi,A4 2.0T Premium Plus quattro,Sedan,24.0,1,42100.0,0
2009,GMC,Sierra 1500 SLE,Pickup,14.0,0,30000.0,0
2006,Chevrolet,Corvette Z06,Coupe,19.0,1,65000.0,1
2018,Jeep,Wrangler Unlimited Rubicon,SUV,21.0,1,41190.0,0
2015,Lexus,IS 300 Base,Sedan,21.0,0,39900.0,0
2022,Mercedes-Benz,AMG GLE 53 AMG GLE 53,SUV,19.0,1,73300.0,0
2014,Mercedes-Benz,CLS-Class CLS 63 AMG S-Model 4MATIC,Sedan,19.0,1,106600.0,0
2019,Land,Rover Range Rover 5.0L V8 Supercharged,SUV,15.0,1,90000.0,0
2011,Audi,A4 2.0T Premium,Sedan,24.0,1,32900.0,0
2007,MINI,Cooper S Base,Hatchback,30.0,1,23000.0,0
2019,Land,Rover Range Rover Evoque SE Premium,SUV,24.0,1,48700.0,0
2015,Audi,S4 3.0T Premium Plus,Sedan,22.0,1,50750.0,0
2019,Audi,SQ5 3.0T Premium Plus,SUV,21.0,1,55600.0,0
2008,Acura,TLX V6 Advance,Sedan,20.0,1,35000.0,0
2004,Toyota,Camry Solara SLE,Coupe,24.0,0,27000.0,0
2006,Cadillac,DTS Base,Sedan,15.0,0,47000.0,0
2010,Chevrolet,Camaro 1LT,Coupe,19.0,0,24000.0,0
2004,Buick,Town Car Signature,Sedan,18.0,1,40000.0,0
2017,Ford,Expedition EL XLT,SUV,18.0,0,50000.0,0
2022,Rivian,R1S Adventure Package,SUV,74.0,1,74900.0,0
2019,Ford,F-150 XLT,Pickup,20.0,0,43000.0,0
2005,Chevrolet,Corvette Base,Coupe,19.0,1,49995.0,1
2023,Toyota,Sequoia Platinum,SUV,20.0,1,74900.0,0
2019,Chevrolet,Silverado 1500 High Country,Pickup,20.0,1,60000.0,0
2019,Audi,Q8 3.0T Prestige,SUV,17.0,1,74900.0,0
2012,Nissan,Juke SL,SUV,27.0,1,23900.0,0
2009,Mercedes-Benz,SL-Class SL63 AMG Roadster,Convertible,18.0,1,139500.0,1
2016,Audi,A4 2.0T Premium,Sedan,26.0,0,35000.0,0
2008,Chevrolet,Corvette Base,Convertible,18.0,0,50000.0,1
2019,BMW,530 i,Sedan,26.0,1,52000.0,0
2016,Land,Rover Range Rover Sport Supercharged HSE,SUV,14.0,1,83700.0,0
2019,Nissan,Armada SL,SUV,14.0,0,60400.0,0
2008,Dodge,Ram 1500 ST,Pickup,16.0,0,22000.0,0
2007,Mercedes-Benz,C-Class C280 4MATIC,Sedan,20.0,0,37000.0,0
2023,BMW,M4 Competition xDrive,Coupe,16.0,1,74800.0,0
2021,Audi,Q7 Premium Plus,SUV,21.0,1,64400.0,0
2017,Land,Rover Range Rover Sport Supercharged HSE,SUV,22.0,1,78500.0,0
2023,Chevrolet,Corvette Stingray w/3LT,Coupe,15.0,1,80000.0,1
2020,Tesla,Model Y Performance,SUV,15.0,1,59990.0,0
2018,BMW,650 Gran Coupe i xDrive,Coupe,22.0,1,96000.0,0
2008,Saturn,Sky Base,Convertible,20.0,0,27000.0,0
2017,Ford,F-150 XLT,Pickup,20.0,0,35000.0,0
2011,Lexus,RX 450h Base,SUV,30.0,0,45800.0,0
2019,Ford,Mustang GT Premium,Coupe,15.0,1,45000.0,0
2021,Jeep,Gladiator Willys,Pickup,22.0,0,44000.0,0
2017,Land,Rover Range Rover Sport HSE,SUV,22.0,1,69900.0,0
2017,INFINITI,QX60 Base,SUV,20.0,0,44000.0,0
2015,Chevrolet,Camaro 2SS,Coupe,16.0,1,38900.0,0
2022,Kia,Sorento LX V6,SUV,24.0,0,30590.0,0
2013,RAM,3500 Tradesman,Pickup,14.0,0,30000.0,0
2011,Lexus,IS 250 Base,Sedan,20.0,0,32950.0,0
2019,Mercedes-Benz,C-Class C 300,Sedan,27.0,1,41000.0,0
2016,Mercedes-Benz,AMG G 63 Base,SUV,13.0,1,148900.0,1
2012,MINI,Cooper S Base,Hatchback,28.0,0,23000.0,0
2018,Chevrolet,Colorado ZR2,Pickup,18.0,1,43000.0,0
2019,Lincoln,MKC Reserve,SUV,24.0,1,40845.0,0
2011,Cadillac,CTS Base,Sedan,20.0,0,35000.0,0
2020,Ford,Explorer XLT,SUV,24.0,0,35500.0,0
2007,Dodge,Ram 1500 ST,Pickup,16.0,0,22995.0,0
2008,Land,Rover Range Rover HSE,SUV,14.0,1,83500.0,0
2018,Chevrolet,Suburban LT,SUV,20.0,0,57000.0,0
2008,MINI,Cooper Base,Hatchback,28.0,0,20000.0,0
2019,Audi,A6 55 Prestige,Sedan,25.0,1,60000.0,0
2015,Chevrolet,Suburban LT,SUV,18.0,0,51800.0,0
2018,Land,Rover Range Rover 3.0L Supercharged HSE,SUV,20.0,1,87000.0,0
2017,Land,Rover Range Rover 3.0L Supercharged HSE,SUV,18.0,1,90000.0,0
2012,Audi,S4 3.0 Prestige,Sedan,20.0,1,50000.0,0
2014,Porsche,Panamera 4S,Sedan,20.0,1,100000.0,0
2016,Cadillac,XT6 Premium Luxury AWD,SUV,20.0,1,60000.0,0
2007,Lexus,GX 470 Base,SUV,15.0,0,50000.0,0
2008,Honda,Element EX,SUV,20.0,0,23900.0,0
2009,BMW,M3 Base,Coupe,14.0,1,62000.0,1
2005,Chevrolet,Camaro 2SS,Coupe,18.0,0,30000.0,1
2015,Toyota,Tundra SR5 Access Cab,Pickup,15.0,0,33000.0,0
2020,Ford,Edge SEL,SUV,25.0,0,33500.0,0
2017,Lexus,RX 350 Base,SUV,20.0,0,42950.0,0
2012,Land,Rover Range Rover Sport HSE,SUV,14.0,1,58900.0,0
2019,Toyota,Highlander Limited Platinum,SUV,20.0,1,45000.0,0
2009,Chevrolet,Avalanche 1500 LT,Pickup,14.0,0,35300.0,0
2020,Porsche,Macan S,SUV,19.0,1,63500.0,0
2016,Land,Rover Range Rover Supercharged LWB,SUV,16.0,1,110000.0,0
2021,Tesla,Model Y Long Range,SUV,131.0,1,53990.0,0
2015,Acura,TLX V6 Advance,Sedan,21.0,1,43000.0,0
2011,Lexus,RX 350 Base,SUV,22.0,0,39400.0,0
2023,Land,Rover Range Rover Sport P400 SE Dynamic,SUV,22.0,1,75000.0,0
2008,Cadillac,Escalade Base,SUV,12.0,0,65490.0,0
2023,Tesla,Model Y Performance,SUV,110.0,1,66990.0,0
2013,Hyundai,Genesis 5,Sedan,24.0,0,35000.0,0
2017,Cadillac,Escalade ESV Platinum,SUV,17.0,1,100000.0,0
2016,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,SUV,14.0,1,180000.0,0
2004,Land,Rover Discovery LSE,SUV,15.0,0,40000.0,0
2019,Kia,Sorento Plug-In Hybrid SX Prestige,SUV,30.0,1,45000.0,0
2022,Audi,Q7 Premium Plus,SUV,21.0,1,62900.0,0
2012,INFINITI,G37 x,Sedan,20.0,0,35100.0,0
2020,Land,Rover Range Rover Velar P250 S R-Dynamic,SUV,24.0,1,59900.0,0
2021,Toyota,4Runner SR5,SUV,16.0,0,36740.0,0
2021,Ford,F-PACE S,SUV,23.0,1,65000.0,0
2017,Nissan,Armada Platinum,SUV,19.0,1,65000.0,0
2011,Ford,Expedition EL Limited,SUV,14.0,1,54670.0,0
2023,Lexus,GX 460 Premium,SUV,15.0,1,60000.0,0
2005,Hyundai,Genesis Coupe 3.8 Track,Coupe,18.0,0,29500.0,0
2007,Mercedes-Benz,SL-Class SL600 Roadster,Convertible,15.0,1,137600.0,0
2012,Cadillac,CTS Luxury,Sedan,20.0,1,43000.0,0
2021,Ford,F-150 XLT,Pickup,20.0,0,40000.0,0
2018,Toyota,Tundra SR5,Pickup,15.0,0,37000.0,0
2004,Toyota,FJ Cruiser Base,SUV,16.0,0,25000.0,0
2014,Mercedes-Benz,E-Class E 350,Sedan,21.0,1,52800.0,0
2020,Hyundai,Tucson SEL,SUV,25.0,0,28500.0,0
2021,Ford,Mustang Bullitt,Coupe,15.0,1,50000.0,1
2018,Porsche,Cayenne S,SUV,18.0,1,80100.0,0
2016,INFINITI,QX56 Base,SUV,14.0,1,65750.0,0
2019,Porsche,Macan S,SUV,22.0,1,61000.0,0
2014,BMW,i3 Base w/Range Extender,Hatchback,97.0,0,45700.0,0
2008,Pontiac,Solstice GXP,Convertible,19.0,1,30745.0,0
2017,BMW,M4 Base,Coupe,21.0,1,67800.0,0
2012,Land,Rover Range Rover Sport Supercharged HSE,SUV,12.0,1,61900.0,0
2017,Lincoln,MKZ Reserve,Sedan,25.0,1,40000.0,0
2018,Audi,SQ5 3.0T Prestige,SUV,19.0,1,55000.0,0
2022,Mercedes-Benz,GLE 350 Base,SUV,20.0,0,54300.0,0
2003,Hummer,H2 Base,SUV,10.0,0,50000.0,0
2017,Chevrolet,Silverado 1500 Limited Custom,Pickup,18.0,0,36000.0,0
2016,Jeep,Wrangler Sport,SUV,17.0,0,24000.0,0
2021,Cadillac,Escalade Premium Luxury Platinum,SUV,17.0,1,94995.0,0
2021,Tesla,Model X Long Range Plus,SUV,90.0,1,89990.0,0
2007,Toyota,Camry Solara SLE V6,Coupe,21.0,0,28920.0,0
2011,BMW,328 i,Sedan,20.0,0,35000.0,0
2018,Audi,A5 2.0T Premium,Coupe,26.0,1,50800.0,0
2014,BMW,M235 i,Coupe,22.0,1,44000.0,0
2022,Ford,Bronco Wildtrak Advanced,SUV,20.0,1,60000.0,0
2014,Nissan,Pathfinder Silver,SUV,20.0,0,29000.0,0
2020,BMW,530 i xDrive,Sedan,25.0,0,55900.0,0
2021,Chevrolet,Silverado 1500 LT Trail Boss,Pickup,17.0,0,48700.0,0
2019,Audi,A8 L 55,Sedan,23.0,1,83500.0,0
2015,BMW,435 i xDrive,Coupe,26.0,1,50000.0,0
2023,Lamborghini,Aventador SVJ Base,Coupe,10.0,1,517000.0,1
2019,Ford,Expedition Max Limited,SUV,20.0,1,73995.0,0
2010,GMC,Terrain SLT-1,SUV,23.0,0,29000.0,0
2021,Ford,F-150 Lariat,Pickup,19.0,1,49000.0,0
2021,Porsche,Carrera GT Base,Coupe,15.0,1,210000.0,1
2021,Alfa,Romeo Giulia Ti,Sedan,24.0,0,41900.0,0
2015,INFINITI,QX70 Base,SUV,18.0,0,45500.0,0
2021,INFINITI,QX80 Luxe,SUV,14.0,1,67900.0,0
2002,Dodge,Ram 1500 SRT-10,Pickup,10.0,1,50000.0,1
2019,Buick,Enclave Avenir,SUV,18.0,1,58000.0,0
2013,BMW,750 Li xDrive,Sedan,18.0,1,81800.0,0
1999,Toyota,Camry Solara SLE V6,Coupe,20.0,1,24000.0,0
2017,Acura,ILX Technology Plus Package,Sedan,25.0,1,30450.0,0
2015,RAM,1500 Big Horn,Pickup,20.0,0,39700.0,0
2012,Toyota,Highlander Limited,SUV,20.0,1,40000.0,0
2020,Ford,Explorer Timberline,SUV,18.0,1,47000.0,0
2011,Land,Rover Discovery LSE,SUV,12.0,1,55000.0,0
2016,Jeep,Wrangler Unlimited Sahara,SUV,21.0,0,41400.0,0
2023,Ford,Bronco Outer Banks,SUV,20.0,1,43000.0,0
2019,Ford,F-150 Platinum,Pickup,20.0,1,63700.0,0
2020,INFINITI,QX56 Base,SUV,19.0,1,65900.0,0
2019,Mercedes-Benz,AMG C 63 Base,Sedan,20.0,1,68300.0,1
2010,Toyota,Camry Hybrid XLE,Sedan,33.0,1,30000.0,0
2021,Jeep,Wrangler Unlimited Sahara,SUV,22.0,1,44300.0,0
2019,Audi,R8 5.2 V10 plus,Convertible,14.0,1,208000.0,1
2016,Audi,A8 L 3.0T,Sedan,24.0,0,83000.0,0
2015,Toyota,Highlander Limited Platinum,SUV,20.0,1,44990.0,0
2018,Porsche,718 Cayman GTS,Coupe,20.0,1,80000.0,0
2018,Land,Rover Discovery HSE LUXURY,SUV,21.0,1,61900.0,0
2016,Mercedes-Benz,E-Class E 350,Sedan,21.0,0,53900.0,0
2023,Mercedes-Benz,AMG E 53 Base 4MATIC,Sedan,21.0,1,75200.0,0
2019,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,SUV,18.0,1,115000.0,0
2008,Land,Rover Range Rover Autobiography,SUV,12.0,1,102200.0,1
2023,Lexus,LC 500 Base,Coupe,19.0,1,94300.0,0
2018,Chevrolet,Silverado 2500 High Country,Pickup,15.0,1,60000.0,0
2012,BMW,335 i,Sedan,20.0,0,40000.0,0
2022,Porsche,911 GT3 RS,Coupe,15.0,1,218000.0,1
2010,GMC,Canyon Denali,Pickup,18.0,1,35000.0,0
2011,Ford,E350 Super Duty XLT,Minivan,12.0,0,35000.0,0
2018,BMW,M5 Base,Sedan,18.0,1,102600.0,0
2014,Subaru,BRZ Limited,Coupe,22.0,1,29000.0,0
2007,Acura,RDX Base,SUV,20.0,0,32990.0,0
2023,Chevrolet,Corvette Stingray w/2LT,Coupe,20.0,1,68000.0,1
2002,Ford,Thunderbird Deluxe,Convertible,20.0,0,37000.0,1
2008,BMW,650 i,Convertible,15.0,1,85000.0,0
2019,Mercedes-Benz,C-Class C 300 4MATIC,Sedan,24.0,1,41200.0,0
2005,Acura,MDX Touring,SUV,20.0,1,42000.0,0
2005,Chrysler,Crossfire Limited,Coupe,20.0,1,33990.0,0
2021,Lexus,LX 570 Three-Row,SUV,18.0,0,86000.0,0
2010,MINI,Cooper S Base,Hatchback,34.0,1,24000.0,0
2017,Tesla,Model S P100D,Sedan,99.0,1,135000.0,1
2021,Mazda,CX-9 Touring Plus,SUV,22.0,0,40705.0,0
2016,Mercedes-Benz,E-Class E 350 4MATIC,Sedan,24.0,1,60000.0,0
2018,Mercedes-Benz,E-Class E 350,Sedan,24.0,1,60000.0,0
2005,Porsche,Boxster Base,Convertible,21.0,0,45000.0,0
2020,Mercedes-Benz,AMG GT C,Coupe,18.0,1,157000.0,1
2020,INFINITI,QX60 Luxe,SUV,27.0,1,46000.0,0
2022,Jeep,Grand Cherokee Altitude,SUV,22.0,0,48740.0,0
2008,Mercedes-Benz,SL-Class SL550 Roadster,Convertible,15.0,1,108000.0,1
2018,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,Coupe,18.0,1,68800.0,0
2018,Audi,A4 2.0T Tech Premium,Sedan,27.0,1,45000.0,0
2014,Mercedes-Benz,C-Class C 300 4MATIC Sport,Sedan,24.0,1,42000.0,0
2020,Mercedes-Benz,S-Class S 560 4MATIC,Sedan,18.0,1,100000.0,0
2023,Toyota,RAV4 Prime XSE,SUV,94.0,1,43500.0,0
2021,Rivian,R1S Adventure Package,SUV,70.0,1,74900.0,0
2017,Kia,Optima LX,Sedan,29.0,0,22700.0,0
2009,Nissan,Pathfinder SL,SUV,15.0,0,29490.0,0
2020,Chevrolet,Suburban Premier,SUV,15.0,1,71900.0,0
2009,Ford,F-250 XLT Super Duty,Pickup,15.0,0,32000.0,0
2003,Lamborghini,Gallardo LP560-4,Coupe,15.0,0,198000.0,1
2017,Lexus,GX 460 Premium,SUV,15.0,1,53200.0,0
2019,Mercedes-Benz,G-Class G 550 4MATIC,SUV,13.0,1,130900.0,1
2021,Porsche,Macan Turbo,SUV,18.0,1,83700.0,0
2021,Lexus,GX 460 Base,SUV,15.0,0,53000.0,0
2019,Toyota,4Runner Limited,SUV,17.0,1,46900.0,0
